2026-01-03 14:03:42 | INFO | src.datasets.pneumonia_dataset | Initializing PneumoniaDataset
2026-01-03 14:03:42 | INFO | src.datasets.pneumonia_dataset | PneumoniaDataset loaded with 5220 samples (Normal: 1345, Pneumonia: 3875)
2026-01-03 14:03:42 | INFO | src.datasets.base_dataset | BaseXRayDataset initialized with 5220 samples
2026-01-03 14:08:21 | INFO | __main__ | Starting pneumonia model training
2026-01-03 14:08:21 | INFO | src.datasets.pneumonia_dataset | Initializing PneumoniaDataset
2026-01-03 14:08:21 | INFO | src.datasets.pneumonia_dataset | PneumoniaDataset loaded with 5220 samples (Normal: 1345, Pneumonia: 3875)
2026-01-03 14:08:21 | INFO | src.datasets.base_dataset | BaseXRayDataset initialized with 5220 samples
2026-01-03 14:08:21 | INFO | __main__ | Training samples: 5220
2026-01-03 14:08:21 | INFO | src.models.model_factory | Creating pneumonia model via factory
2026-01-03 14:08:21 | INFO | src.models.model_factory | Building PneumoniaModel
2026-01-03 14:08:21 | INFO | src.models.backbones.densenet121 | Initializing DenseNet-121 backbone
2026-01-03 14:08:37 | INFO | src.models.backbones.densenet121 | Freezing DenseNet-121 backbone layers
2026-01-03 14:08:37 | INFO | src.models.heads.pneumonia_head | Initializing Pneumonia classification head
2026-01-03 14:08:37 | INFO | src.models.model_factory | PneumoniaModel built successfully
2026-01-03 14:08:37 | INFO | __main__ | Model built successfully
2026-01-03 14:13:39 | INFO | __main__ | Starting pneumonia model training
2026-01-03 14:13:39 | INFO | src.datasets.pneumonia_dataset | Initializing PneumoniaDataset
2026-01-03 14:13:39 | INFO | src.datasets.pneumonia_dataset | PneumoniaDataset loaded with 5220 samples (Normal: 1345, Pneumonia: 3875)
2026-01-03 14:13:39 | INFO | src.datasets.base_dataset | BaseXRayDataset initialized with 5220 samples
2026-01-03 14:13:39 | INFO | __main__ | Training samples: 5220
2026-01-03 14:13:39 | INFO | src.models.model_factory | Creating pneumonia model via factory
2026-01-03 14:13:39 | INFO | src.models.model_factory | Building PneumoniaModel
2026-01-03 14:13:39 | INFO | src.models.backbones.densenet121 | Initializing DenseNet-121 backbone
2026-01-03 14:13:39 | INFO | src.models.backbones.densenet121 | Freezing DenseNet-121 backbone layers
2026-01-03 14:13:39 | INFO | src.models.heads.pneumonia_head | Initializing Pneumonia classification head
2026-01-03 14:13:39 | INFO | src.models.model_factory | PneumoniaModel built successfully
2026-01-03 14:13:39 | INFO | __main__ | Model built successfully
2026-01-03 14:15:45 | INFO | __main__ | Starting pneumonia model training
2026-01-03 14:15:45 | INFO | src.datasets.pneumonia_dataset | Initializing PneumoniaDataset
2026-01-03 14:15:45 | INFO | src.datasets.pneumonia_dataset | PneumoniaDataset loaded with 5220 samples (Normal: 1345, Pneumonia: 3875)
2026-01-03 14:15:45 | INFO | src.datasets.base_dataset | BaseXRayDataset initialized with 5220 samples
2026-01-03 14:15:45 | INFO | __main__ | Training samples: 5220
2026-01-03 14:15:45 | INFO | src.models.model_factory | Creating pneumonia model via factory
2026-01-03 14:15:45 | INFO | src.models.model_factory | Building PneumoniaModel
2026-01-03 14:15:45 | INFO | src.models.backbones.densenet121 | Initializing DenseNet-121 backbone
2026-01-03 14:15:46 | INFO | src.models.backbones.densenet121 | Freezing DenseNet-121 backbone layers
2026-01-03 14:15:46 | INFO | src.models.heads.pneumonia_head | Initializing Pneumonia classification head
2026-01-03 14:15:46 | INFO | src.models.model_factory | PneumoniaModel built successfully
2026-01-03 14:15:46 | INFO | __main__ | Model built successfully
2026-01-03 14:16:58 | INFO | __main__ | Starting pneumonia model training
